Full Name,Division
"Gargi Bajpayee, MD",Internal Medicine
"Charles Berk, MD",Family Medicine
"Lauren E Blau, PhD",Psychology
"Carrie Bowler, DO",Family Medicine
"Michele Burgess, MD",Dermatology
"Margot Chima, MD",Dermatology
"Beau A DiCicco, MD",Dermatology
"Robert L Finney, MD",Dermatology
"Samuel Hanon, MD",Cardiology / Clinical Cardiac Electrophysiology
"Peter W Hashim, MD",Dermatology
"Kate Hirschmann-Levy, MD",Obstetrics & Gynecology
"Kristen Island, MD",Family Medicine
"Himansh Khanna, MD",Urology
"Hasan Khosravi, MD",Dermatology
"Marissa Lombardo, MD",Cardiology
"Marcelo Mendez, MD",Cardiology / Internal Medicine
"Andrew J Peranteau, MD",Dermatology
"Peter Raimondi, MD",Cardiology
"Hugo O Rosero, DO",Cardiology / Interventional Cardiology
"Tina Shah, MD",Cardiology
"Sanjosh Singh, DO",Dermatology
"Michelle Spotnitz, MD",Internal Medicine / Cardiology
"Lauren Strazzulla, MD",Dermatology
"Fasiha Syed, DO",Family Medicine
"Usama Syed, MD",Dermatology
"Paul A Thodiyil, MD",General Surgery
"Nandini Vijayakumar, DO",Family Medicine
"Ruwanthi Wijesinghe, MD",Cardiology
"Alyssa Wohl, MD",Pediatrics
"Ana M Jaramillo, MD",Sleep Medicine
"Integrated Network, Empire (Commercial/Medicare) Clinical Integrated","Network, Humana (Medicare), Oscar, UMR Top Tier, United"
"Atul Kukar, DO",Cardiology
"Martin J Arron, MD",Internal Medicine
"Fernando C Carnavali, MD",Internal Medicine
"Christy Chon, MD",Internal Medicine
"Samuel J Daniel, MD",Gastroenterology / Internal Medicine
"Jessie Fields, MD",Internal Medicine
"Mark A Gorny, MD",Internal Medicine
"Virgil Hatcher, MD",Dermatology
"Dora Huang, RD",Dietician
"Theresa A Mack, MD",Internal Medicine
"Yeriko Santillan, MD",Internal Medicine
"George Velasco, MD",Internal Medicine
"Jeffrey M Weinberg, MD",Dermatology
"Ming Yu, MD",Internal Medicine
"Saad Bhatti, MD",Nephrology
"Maritza Brown, MD",Neurology
"Kevin A Charlotten, MD",Family Medicine
"Anthony G Curreri, MD",Ophthalmology
"Marie E Dy-Guillaume, MD",Internal Medicine / Infectious Disease
"Rondai Evans, MD",Ophthalmology
"Carl Guillaume, MD",Gastroenterology
"Anil K Kapoor, MD",Neurology / Vascular Neurology
"Nitzy Munoz Casablanca, MD",Nephrology
"Vahid Rahimian, DO",Allergy & Immunology / Internal Medicine
"Aaron S Stern, MD",Nephrology
"Afshin Tavakoly, MD",Internal Medicine
"Sanghyun A Kim, MD",Colon & Rectal Surgery
"Abdo Balikcioglu, MD",Gastroenterology / Internal Medicine
"Sunil Mehra, MD",Pulmonary Disease / Internal Medicine
"Vishal Kapur, MD",Cardiology
Clinically Integrated Network Member,"(212) 427-1540    |    432 East 149th Street, Bronx, NY 10455    |     6.22 miles"
"Dina M Began, MD",Dermatology / Internal Medicine
"Robert L Buka, MD",Dermatology
"Michele Burgess, MD",Dermatology
"Margot Chima, MD",Dermatology
"Sourab P Choudhury, DO",Dermatology / Pediatric Dermatology
"Beau A DiCicco, MD",Dermatology
"Robert L Finney, MD",Dermatology
"Alison B Gruen, MD",Dermatology
"Peter W Hashim, MD",Dermatology
"Hasan Khosravi, MD",Dermatology
"Charlotte S Noorollah, DO",Dermatology
"Andrew J Peranteau, MD",Dermatology
"Andrea N Persaud, MD",Dermatology
"Network, Emblem Health (HIP Commerical and Medicare) Clinical","Integrated Network, Empire (Commercial/Medicare) Clinical Integrated"
"Sanjosh Singh, DO",Dermatology
"Lauren Strazzulla, MD",Dermatology
"Usama Syed, MD",Dermatology
"Atul Kukar, DO",Cardiology
"Punyadech Photangtham, MD",Family Medicine
"Network, Humana (Medicare), Oscar, UMR Top Tier, United",(Commercial) Clinical Integrated Network
"Dina M Began, MD",Dermatology / Internal Medicine
"Michele Burgess, MD",Dermatology
"Margot Chima, MD",Dermatology
"Beau A DiCicco, MD",Dermatology
"Robert L Finney, MD",Dermatology
"Alison B Gruen, MD",Dermatology
"Peter W Hashim, MD",Dermatology
"Hasan Khosravi, MD",Dermatology
"Charlotte S Noorollah, DO",Dermatology
"Andrew J Peranteau, MD",Dermatology
"Andrea N Persaud, MD",Dermatology
"Sanjosh Singh, DO",Dermatology
"Lauren Strazzulla, MD",Dermatology
"Usama Syed, MD",Dermatology
"Jeffrey M Weinberg, MD",Dermatology
"Janet Abrams, MD",Gynecology / Obstetrics & Gynecology
"Sriya Avadhani, MD",Cardiology
"Sachal H Badlani, MD",Internal Medicine / Pulmonary Disease
Clinical Integrated Network,Clinically Integrated Network Member
"Micaela F Bayard, MD",Rheumatology / Internal Medicine
"Michael J Benanti, DO",Diagnostic Radiology
"Rachel A Brozinsky, MD",Pediatrics
"Adjoa A Bucknor, MD",Obstetrics & Gynecology
"Annamaria Cazzorla, RD",Dietician
"Philippa Cheetham, MD",Urology
"Susan Ching, DO",Family Medicine
"Michael Choi, MD",General Surgery
"Dan R Cimponeriu, MD",Gastroenterology / Internal Medicine
"Christopher T Clemens, MD",Pediatrics
"Felix N Cohen, MD",Obstetrics & Gynecology
"Harley J Cohen, MD",Rheumatology
"Meir S Cohen, DO",Family Medicine
"Zachary Dovey, MBBS",Urology
"Michael C Edelstein, DPM",Podiatry
"Eric D Edwards, MD",Bariatric Surgery
"Alyssa M Erb, DO",Obstetrics & Gynecology
"Emily Fatakhov, MD",Physical Medicine & Rehabilitation / Sports Medicine
"Yekaterina Fatakhov, MD",Internal Medicine
"Lorenzo Fitzig, MD",Cardiology
"Maria E Fraga, RD",Dietician
"Elizabeth Fung, DO",Internal Medicine
"Anthony Garcia, MD",Internal Medicine
"Sunil K George, MD",Nephrology
"Ariana Gluck, DO",Physical Medicine & Rehabilitation
"Meenakashi Gupta, MD",Ophthalmology
"Maichael D Harbus, DO",Physical Medicine & Rehabilitation
"Virgil Hatcher, MD",Dermatology
"Xequiel Hernandez, MD",Family Medicine
"John K Houten, MD",Neurological Surgery
"Le Yu Khine, MD","Endocrinology, Diabetes and Metabolism"
"Annie J Kim, MD",Obstetrics & Gynecology
"Renita S Kim, MD, PhD",Obstetrics & Gynecology
"Brett Klein, RD",Dietician
"Jeffrey K Klingenstein, MD",Gastroenterology / Internal Medicine
"Mikhail Kogan, MD",Pain Management / Anesthesiology
"Sean Kotkin, MD",Cardiology / Nuclear Cardiology
"Felix Kuo, MD",Dermatology
"Herbert S Lempel, MD",Internal Medicine
"Gary N Lerner, MD",Internal Medicine
"Tianyuan Liu, MD",Diagnostic Radiology
"Tianyi Lu, MD",General Surgery
"Thomas Mannino, MD",Diagnostic Radiology
"Jennifer L Marti, MD",General Surgery
"Sunil Mehra, MD",Pulmonary Disease / Internal Medicine
"Marc A Miller, MD",Cardiology
"Daniel Musikantow, MD",Internal Medicine
"Anthony Orlando, DPM",Podiatry
"Network, Humana (Medicare), Oscar, UMR Top Tier, United",(Commercial) Clinical Integrated Network
"Behzad Paimany, MD",Cardiology / Nuclear Cardiology
"John P Phair, MD",Vascular Surgery
"David Power, MBBS",Cardiology / Internal Medicine
"Andrew J Quinn, MD",Gastroenterology
"Stephen Reuben, MD",Internal Medicine
"Michael J Robbins, MD",Cardiology
"Igor Rubinshteyn, MD",Orthopaedic Surgery
"Alfred Shtainer, MD",Urology
"Maria E Shtessel, MD",Allergy & Immunology
"Ava Sierecki, MD",Obstetrics & Gynecology
"Kelly Smith, MD",Pediatrics
"Richard Smith, MD",Cardiology
"Christopher J Smolock, MD",General Surgery
"George C Surla, MD",Gastroenterology / Internal Medicine
"Jason Tam, MD",Orthopaedic Surgery
"Sekhar Upadhyayula, MD",Anesthesiology / Pain Management
"Steven Xian, MD",Neurology
"Edward C Yang, MD",Orthopaedic Surgery
"Lili Chan, MD",Internal Medicine
"Nicholas H Chun, MD",Nephrology
"Robert L Finney, MD",Dermatology
"Lewis Kaufman, MD",Nephrology
"Staci A Leisman, MD",Nephrology
"Kristin A Meliambro, MD",Nephrology
"Martin Sedlacek, MD",Nephrology
"Shuchita Sharma, MD",Nephrology
"Lauren Strazzulla, MD",Dermatology
"Joji E Tokita, MD",Nephrology
"Jaime V Uribarri, MD",Nephrology
"Cecilia G Calderon, MD",Internal Medicine
"Robert L Finney, MD",Dermatology
"Lauren Strazzulla, MD",Dermatology
"Joji E Tokita, MD",Nephrology
"Jonathan A Winston, MD",Nephrology
"Anthony F Jahn, MD",Otolaryngology
"Sanghyun A Kim, MD",Colon & Rectal Surgery
"Swaminatha V Gurudevan, MD",Internal Medicine / Cardiology
"Virgil Hatcher, MD",Dermatology
"Vishal Kapur, MD",Cardiology
"Jeffrey M Weinberg, MD",Dermatology
"Marwan Atallah, MD",Urology
"Robert F Calciano, MD",Urology
"Abel A Casso Dominguez, MD",Cardiology
"Margot Chima, MD",Dermatology
(Commercial) Clinical Integrated Network,Clinically Integrated Network Member
"Robert L Finney, MD",Dermatology
"Michael Giasullo, MD",Urology
"Yuliya Giyaur, MD",Ophthalmology
"Swaminatha V Gurudevan, MD",Internal Medicine / Cardiology
"Vishal Kapur, MD",Cardiology
"Hasan Khosravi, MD",Dermatology
"Daniel Musikantow, MD",Internal Medicine
"Andrea N Persaud, MD",Dermatology
"Lauren Strazzulla, MD",Dermatology
"Vivian M Abascal, MD",Cardiology
"Kiruthika Balasundaram, MD",Internal Medicine
"Cecilia G Calderon, MD",Internal Medicine
"Cecilia G Calderon, MD",Internal Medicine
"Abel A Casso Dominguez, MD",Cardiology
"Clarence L Chen, MD",Psychiatry
"Edward Chin, MD",General Surgery / Bariatric Surgery
"Cory C Cunningham, LCSW",Licensed Clinical Social Worker
"(Medicare), Oscar, UMR Top Tier",Clinically Integrated Network Member
"Anthony G Curreri, MD",Ophthalmology
"Michelle DelValle, MD",Cardiology
"Michelle Diaz, DPM",Podiatry
"Melissa Duperval, DO",Obstetrics & Gynecology
"Eric D Edwards, MD",Bariatric Surgery
"Icilma Fergus, MD",Cardiology
"Vanessa E Fernandez, MD",Family Medicine
"Gustavo G Fernandez Ranvier, MD",General Surgery
"Zoya Gavrilman, MD",Obstetrics & Gynecology
"Jisu Han, DO",Family Medicine
"Eugenius J Harvey, MD",General Surgery
"Adam H Jacobi, MD",Diagnostic Radiology
"Amit S Kalra, DPM",Podiatry
"Sung Y Kim, MD",Vascular Surgery
"Ninan Koshy, MD",General Surgery
"Prakash Krishnan, MD",Interventional Cardiology
"Atul Kukar, DO",Cardiology
"Brian K Levy, DPM",Podiatry
"Asad Mohammad, DO",Internal Medicine
"Pedro Moreno, MD",Cardiology
"Neelima Nadella, MD",Interventional Cardiology / Cardiology
"Ebrahim Shahim, MD",Obstetrics & Gynecology
"Aida Taye, MD",General Surgery
"Kevia L Taylor, MD",Obstetrics & Gynecology
"Linda P Zhang, MD",General Surgery / Bariatric Surgery
"Alan A Adler, MD",Obstetrics & Gynecology
"Yaniv Y Brailovschi, MD",Obstetrics & Gynecology
"Celia Divino, MD",General Surgery
"Jonathan A Erber, MD",Gastroenterology
"William F Erber, MD",Gastroenterology
Clinically Integrated Network Member,"(718) 972-8500    |    591 Ocean Parkway, Brooklyn, NY 11218    |     7.43 miles"
"Martha Harrison, MD",Obstetrics & Gynecology
"Rachel L Kassenoff, MD",Obstetrics & Gynecology
"Howard H Kurtz, MD",Obstetrics & Gynecology
"Scott Q Nguyen, MD",Laparoscopic Surgery / Bariatric Surgery
"Nicolette Reese, MD",Obstetrics & Gynecology
"Carol E Rodriguez, MD",Obstetrics & Gynecology
"Hayley E Scholl, MD",Obstetrics & Gynecology
"Anupama S Shah, MD",Obstetrics & Gynecology
"Joshua N Shatzkes, MD",Cardiology / Internal Medicine
"Vishal Kapur, MD",Cardiology
"Virgil Hatcher, MD",Dermatology
"Amit S Kalra, DPM",Podiatry
Clinically Integrated Network Member,"(718) 642-3668    |    12073 Flatlands Ave, Brooklyn, NY 11207    |     7.54 miles"
"Brian K Levy, DPM",Podiatry
"Jeffrey M Weinberg, MD",Dermatology
"Dina M Began, MD",Dermatology / Internal Medicine
"Robert L Buka, MD",Dermatology
Clinically Integrated Network Member,"(212) 385-3700    |    4411 8th Avenue, Brooklyn, NY 11220    |     7.68 miles"
"Leon M Chen, MD",Otolaryngology
"Sourab P Choudhury, DO",Dermatology / Pediatric Dermatology
"Wayne K Chung, MD",Otolaryngology
"Alison B Gruen, MD",Dermatology
"Charlotte S Noorollah, DO",Dermatology
"Misu Paul, MD",Allergy & Immunology
"Aaron A Westreich, MD",Allergy & Immunology
"Paul S Aaronson, MD",Urology
"Michael Alleva, MD",Otolaryngology
"Benjamin Arbesfeld, MD",Internal Medicine
"Rosalia Ayuso, MD",Allergy & Immunology
"Joel A Baum, MD",Gastroenterology
"Ben Z Cohen, MD",Ophthalmology
"Anna Frants, MD",Otolaryngology
"Soha N Ghossaini, MD",Otolaryngology
"Virgil Hatcher, MD",Dermatology
"Ana M Jaramillo, MD",Sleep Medicine
"Grigoriy Mashkevich, MD",Facial Plastic and Reconstructive Surgery / Otolaryngology
"Alfred J Nadel, MD",Ophthalmology
"Edward W Olkowski, MD",Obstetrics & Gynecology
"Claudia C Ravins, MD",Obstetrics & Gynecology
(Commercial) Clinical Integrated Network,Clinically Integrated Network Member
"Steven S Ravins, MD",Obstetrics & Gynecology
"Raphael E Rosenbaum, MD",Ophthalmology
"Harvey S Rosenblum, MD",Ophthalmology
"Allen Rubin, MD",Ophthalmology
"Irada Shapiro, DO",Obstetrics & Gynecology
"Alan T Sheyman, MD",Ophthalmology
"Alan T Sheyman, MD",Ophthalmology
"Joseph J Tseng, MD",Ophthalmology
"Aaron E Walfish, MD",Internal Medicine / Gastroenterology
"Jeffrey M Weinberg, MD",Dermatology
"Mariam Zakhary, DO",Physical Medicine & Rehabilitation
"Leslie G Bennett, MD",Internal Medicine
"Eric J Ledermann, DO",Diagnostic Radiology
"Peter S Midulla, MD",Pediatric Surgery
"Adam K Penstein, MD",Dermatology / Internal Medicine
"Aryeh L Pollack, MD",Ophthalmology
"Gary Tubman, MD",Diagnostic Radiology
"Allen B Zelman, MD",Diagnostic Radiology
"Integrated Network, Emblem (HIP Medicaid) Clinical Integrated","Network, Emblem Health (HIP Commerical and Medicare) Clinical"
"David Zelman, DO",Diagnostic Radiology
"Ruchi Agarwal, MD",Obstetrics & Gynecology
"Lili Chan, MD",Internal Medicine
"Nicholas H Chun, MD",Nephrology
"Carl Guillaume, MD",Gastroenterology
"Lewis Kaufman, MD",Nephrology
"Staci A Leisman, MD",Nephrology
"Kristin A Meliambro, MD",Nephrology
"Shuchita Sharma, MD",Nephrology
"Joji E Tokita, MD",Nephrology
"Jaime V Uribarri, MD",Nephrology
"Sung Y Kim, MD",Vascular Surgery
"Gabriele DiLuozzo, MD",Thoracic & Cardiac Surgery
"Clinical Integrated Network, Empire (Commercial/Medicare) Clinical","Integrated Network, Humana (Medicare), Oscar, UMR Top Tier,"
"David H Simon, DPM",Podiatry / Foot and Ankle Surgery (Orthopaedic Surgery)
"Michael Choi, MD",General Surgery
"Spiros P Hiotis, MD",Surgical Oncology / General Surgery
"Vishal Kapur, MD",Cardiology
"Sanghyun A Kim, MD",Colon & Rectal Surgery
"Sung Y Kim, MD",Vascular Surgery
"Alex J Ky-Miyasaka, MD",Colon & Rectal Surgery / General Surgery
"David S Lee, MD",Surgical Oncology
"Tianyi Lu, MD",General Surgery
"Chiara Rocha, MD",Transplant Surgery
"Myron Schwartz, MD",Liver Transplanation
"Ashley T Tsang, MD",General Surgery
"Linda P Zhang, MD",General Surgery / Bariatric Surgery
"Hongyan Zou, MD",Neurosurgery
"Vishal Kapur, MD",Cardiology
"Victor Tenenbaum, MD",Family Medicine
"Qazi K Haider, MD",Internal Medicine
"Rohail Haider, DO",Internal Medicine
"Dong-Seok D Lee, MD",Thoracic Surgery
"Krishnasamy Soundararajan, MD",Vascular Surgery
"Paul A Thodiyil, MD",General Surgery
"Vivian M Abascal, MD",Cardiology
"Ethan Abbott, DO",Emergency Medicine
"Gallane D Abraham, MD",Emergency Medicine
"Samuel K Agyare, MD",Emergency Medicine
"Danish A Ahmad, MD",Emergency Medicine
"Saadia Akhtar, MD",Emergency Medicine
"Ayesha Ali, MD",Emergency Medicine
"Mark C Andreae, MD",Emergency Medicine
"Donald Apakama, MD",Emergency Medicine
"Matthew Y Bai, MD",Emergency Medicine
"Theodore Bania, MD",Emergency Medicine / Medical Toxicology (Emergency Medicine)
"Barbara J Barnett, MD",Emergency Medicine / Internal Medicine
"Christin J Barry, MD",Emergency Medicine
Clinically Integrated Network Member,"(212) 604-6550    |    5030 Broadway, New York, NY 10034    |     8.82 miles"
"Amanda Bates, MD",Emergency Medicine
"Adam Belachew, MD",Emergency Medicine
"David Ben-Eli, MD",Emergency Medicine
"Saadiyah Bilal, MD",Emergency Medicine
"Lavanya Boddu, MD",Family Medicine
"William A Bonadio, MD",Pediatrics / Pediatric Emergency Medicine
"Morgan S Bowling, DO",Pediatrics / Emergency Medicine
"Cara Brown, MD",Emergency Medicine
"Cynthia Bui, MD",Emergency Medicine
"Caroline W Burmon, MD",Emergency Medicine
"Phyllis A Caces, MD",Emergency Medicine
"Yvette Calderon, MD",Emergency Medicine
"Christopher Caravanos, MD",Emergency Medicine
"Patricia Carey, MD",Emergency Medicine
"Brendan Carr, MD",Emergency Medicine
"Moira Carroll, MD",Emergency Medicine
"Abel A Casso Dominguez, MD",Cardiology
"Cheryl Chang, MD",Emergency Medicine
"Jenny F Chang, MD",Emergency Medicine
"Kevin Chason, DO",Emergency Medicine
"Ahmed Chaudhry, DO",Emergency Medicine
"Makini Chisolm-Straker, MD",Emergency Medicine
"Wendy Chung, MD",Emergency Medicine
"Louis Cicatelli, DO",Emergency Medicine
"Mateusz K Ciejka, MD",Emergency Medicine
"Brendan D Connell, MD",Emergency Medicine
"Ethan A Cowan, MD",Emergency Medicine
"Catrina Cropano, MD",Emergency Medicine
"Giselle Cruz, MD",Emergency Medicine
"Uma Damle, MD",Emergency Medicine
"Celeenamma B Daniel, MD",Pediatric Emergency Medicine / Pediatrics
"Morgan P Dauer, MD",Emergency Medicine
"Jonathan DeAssis, MD",Emergency Medicine
"Anthony DeVivo, DO",Emergency Medicine
"Deborah N Dean, MD",Emergency Medicine
"Sean A Dhanraj, MD",Emergency Medicine
"Sukhdip Dhillon, MD",Family Medicine
"Srinivas Dukkipati, MD",Cardiology / Internal Medicine
"Jamie Edelstein, MD",Emergency Medicine
"Patrick Eiben, MD",Emergency Medicine
"Nicole Eiden, MD",Emergency Medicine
"Eliezer T Eisenberger, DPM",Podiatry
"Erick A Eiting, MD",Emergency Medicine
"Mohamed Elfatihi, MD",Emergency Medicine
"Melto J Eliades, MD",Emergency Medicine
"Henry W Evans, MD",Pediatrics
"Ugo A Ezenkwele, MD",Emergency Medicine
"Michael J Falk, MD",Pediatric Emergency Medicine / Pediatrics
"Hassan Farhat, MD",Internal Medicine
"Joseph Feldman, MD",Emergency Medicine
"Gregory Fernandez, MD",Emergency Medicine
"Anusha R Fernando, MD",Pediatrics
"Michelle Gaba, MD",Pediatrics
"Marian L Gambrell, MD",Emergency Medicine
"Sylvia Garcia, MD",Pediatric Emergency Medicine
"Nicholas Gavin, MD",Emergency Medicine
"Megha R George, MD",Emergency Medicine
"Pedro Giron, MD",Emergency Medicine
"Jeffrey A Glassberg, MD",Emergency Medicine
"Jacob K Goertz, MD",Emergency Medicine
"Armin Gollogly, MD",Emergency Medicine
"Dania A Goodin, MD",Emergency Medicine
"Jonathan Grenadir, MD",Emergency Medicine
"Duncan H Grossman, DO",Emergency Medicine
"Carl Guillaume, MD",Gastroenterology
"Sara Hadi, MD",Emergency Medicine
"Christopher W Hahn, MD",Emergency Medicine
"Rosy Hao, MD",Pediatric Emergency Medicine
"Virgil Hatcher, MD",Dermatology
"Chen He, MD",Emergency Medicine
"Michael B Heller, MD",Emergency Medicine / Internal Medicine
"Kimberly Henderson, MD",Emergency Medicine
"Xequiel Hernandez, MD",Family Medicine
"Robert Hoke, MD",Emergency Medicine
"Rubayet Hossain, MD",Emergency Medicine
"Kevin Hu, MD",Emergency Medicine
"Erica E Igbinoghene, MD",Emergency Medicine
"Benedikt Ilyaguyev, DO",Emergency Medicine
"Dinaz Irani, MD",Emergency Medicine / Family Medicine
"Adelle Iusim, MD",Emergency Medicine
"Andy S Jagoda, MD",Emergency Medicine
"Geoffrey W Jara-Almonte, MD",Emergency Medicine / Pediatric Emergency Medicine
"Logan Jardine, MD",Emergency Medicine
"Cortlyn Jeter, MD",Emergency Medicine
"Malcolm Johnson, MD",Emergency Medicine
"Jeffrey Julian, MD",Emergency Medicine
"Tamer Kamash, MD",Family Medicine
"Kristen M Kelly, MD",Emergency Medicine
"Rishi Khakhkha, MD, MBA",Emergency Medicine
"Utsha Khatri, MD",Emergency Medicine
"Amie M Kim, MD",Emergency Medicine
"Sung Y Kim, MD",Vascular Surgery
"Ninan Koshy, MD",General Surgery
"Janine Kramer, DO",Emergency Medicine
"Joel M Krauss, MD",Pediatrics
"Paul H Krieger, MD",Emergency Medicine
Clinically Integrated Network Member,"(212) 604-6550    |    5030 Broadway, New York, NY 10034    |     8.82 miles"
"Prakash Krishnan, MD",Interventional Cardiology
"Alexis P Langsfeld, MD",Emergency Medicine
"Michael D Lanigan, MD",Emergency Medicine
"Elyse B Lavine, MD",Emergency Medicine
"Cappi Lay, MD",Emergency Medicine
"Melissa Leber, MD",Sports Medicine
"Jonathan Lee, MD",Emergency Medicine
"Richard Lee, MD",Emergency Medicine
"Eric Legome, MD",Emergency Medicine
"Evan Leibner, MD",Emergency Medicine
"Quinn Leslie, MD",Emergency Medicine
"Stephan J Lestin, MD",Emergency Medicine
"Michael C Leung, MD",Emergency Medicine
"Rachel J Levene, MD",Pediatric Emergency Medicine
"Jeffrey L Levine, MD",Emergency Medicine
"Wei J Li, MD",Emergency Medicine
"Sally Liang, MD",Emergency Medicine
"Tian Z Liang, MD",Pediatrics
"Eric Lieu, MD",Emergency Medicine
"Czer Anthoney E Lim, MD",Emergency Medicine
"Robert M LoCastro, DPM",Podiatry
"Allison G Lockwood, MD",Emergency Medicine
"Jennifer Love, MD",Emergency Medicine
"Sanida Lukovic, MD",Emergency Medicine
"Douglas K MacDonald, MD",Emergency Medicine
"Patrick J Maher, MD",Pulmonary Critical Care
"Rishi Malik, MD",Emergency Medicine
"Meghan C Maloney, MD",Pediatric Emergency Medicine
"Alex F Manini, MD",Emergency Medicine
"Gonzalo Manzano, MD",Pediatric Emergency Medicine
"James Mattson, MD",Emergency Medicine
"Jolion McGreevy, MD",Emergency Medicine
"Joshua O McHugh, MD",Emergency Medicine
"Benjamin A McVane, MD",Emergency Medicine
"Vishal A Mehta, DO",Orthopaedic Surgery
"Roland Merchant, MD",Emergency Medicine
"Mark Mikhly, MD",Emergency Medicine
"Ramon Millan, MD",Emergency Medicine
"Jonathan Mishoe, MD",Emergency Medicine
"Tiffany Mitchell, MD",Emergency Medicine
"Avir Mitra, MD",Emergency Medicine
"Neal Moehrle, MD",Emergency Medicine
"Pedro Moreno, MD",Cardiology
"Arunabha Nandi, MD",Emergency Medicine
"Denise Nassisi, MD",Emergency Medicine
"Ka Ming G Ngai, MD",Emergency Medicine
"Thomas T Nguyen, MD",Emergency Medicine
"Jeranil Nunez, MD",Pediatric Emergency Medicine / Pediatrics
"Dmitry Olshansky, MD",Family Medicine
"Koji Park, MD",General Surgery
"Amish Patel, MD",Emergency Medicine
"Puja K Patel, MD",Emergency Medicine
"Vaishali R Patel, MD",Emergency Medicine
Clinically Integrated Network Member,"(212) 604-6550    |    5030 Broadway, New York, NY 10034    |     8.82 miles"
"Chandni K Pawar, MD",Emergency Medicine
"Colin Pesyna, MD",Emergency Medicine
"Harrison Pidgeon, MD",Emergency Medicine
"Matthew Pius, MD",Emergency Medicine
"Trevor R Pour, MD",Emergency Medicine
"Arjun Prabhu, MD",Emergency Medicine
"Gabriel Prager, MD",Emergency Medicine
"Ying Qian, MD",Family Medicine
"Elaine J Rabin, MD",Emergency Medicine
"Nina Ragaz, MD",Family Medicine
"Isha N Ranadive, MD",Cardiology
"Michael A Redlener, MD",Emergency Medicine
"Ryan Renacci, MD",Emergency Medicine
"Madeline Renny, MD",Emergency Medicine
"Christopher Reverte, MD",Emergency Medicine
"Lynne D Richardson, MD",Emergency Medicine
"Robin D Roberts, MD",Emergency Medicine
"Jeremy M Rose, MD",Emergency Medicine
"John Rozehnal, MD",Emergency Medicine
"Elizabeth J Rubano, MD",Emergency Medicine
"Jennifer E Sanders, MD",Emergency Medicine
"Christine Saracino, DO",Emergency Medicine / Pediatrics
"Crissaris Sarnelli, MD",Family Medicine
"Nidhish Sasi, MD",Emergency Medicine
"Regina Saylor, MD",Emergency Medicine
"Jonathan Schimmel, MD",Emergency Medicine
"Mirela N Schwartz, MD",Emergency Medicine
"Monica Sethi, MD",Internal Medicine
"Anuj Shah, MD",Emergency Medicine
"Gururaj Shan, MD",Emergency Medicine
"Evan Shapiro, MD",Emergency Medicine
"Siri Shastry, MD",Emergency Medicine
"Peter L Shearer, MD",Emergency Medicine
"Elana Siegel, MD",Emergency Medicine
"Elizabeth K Singer, MD",Emergency Medicine
"Anjali Singh, MD",Pediatric Emergency Medicine
"Rachel Solnick, MD",Emergency Medicine
"Samuel E Sondheim, MD",Emergency Medicine
"Louis Spina, MD",Pediatric Emergency Medicine
"Westley J Spiro, MD",Emergency Medicine
"Jonathan Spitz, MD",Emergency Medicine
"Christopher G Strother, MD",Pediatric Emergency Medicine
"Judah J Sueker, MD",Emergency Medicine
"Rachel Sullivan, MD",Emergency Medicine
"Ramona Sunderwirth-Bailly, MD",Emergency Medicine
"Susan M Talbert, MD",General Surgery
"Timothy Tan, MD",Emergency Medicine
"Shameeke Taylor, MD",Emergency Medicine
"Rahul N Thakker, MD",Emergency Medicine
"Deepti Thomas-Paulose, MD",Emergency Medicine
"Seanna Thompson, MD",Obstetrics & Gynecology
"Frederick L Thum, MD",Emergency Medicine
"Daryl Tiong, MD",Emergency Medicine
"Julia R Tokarski, MD",Pediatric Nephrology
Clinically Integrated Network Member,"(212) 604-6550    |    5030 Broadway, New York, NY 10034    |     8.82 miles"
"Shefali Trivedi, MD",Emergency Medicine
"James W Tsung, MD",Pediatric Emergency Medicine
"Gail Ukatu, MD",Family Medicine
"Peter C Vangronigen, MD",Emergency Medicine
"Lara Vanyo, MD",Emergency Medicine
"Vladimir Volokh, DO",Family Medicine
Clinically Integrated Network Member,"(212) 604-6550    |    5030 Broadway, New York, NY 10034    |     8.82 miles"
"Nico Volz, MD",Emergency Medicine
"Richard Wang, MD",Emergency Medicine
"Raymond V Wedderburn, MD",General Surgery
"Jeffrey M Weinberg, MD",Dermatology
"Jeffrey M Weinberg, MD",Dermatology
"Van Don Williams, MD",Pediatrics
"Tommy Y Wong, MD",Emergency Medicine
"Benjamin Wyler, MD",Emergency Medicine
"Diana H Yan, MD",Emergency Medicine
"Elizabeth Yetter, MD",Emergency Medicine
"Debra R Zane, MD",Pediatrics
"Linda P Zhang, MD",General Surgery / Bariatric Surgery
Clinical Integrated Network,Clinically Integrated Network Member
"Lauren E Zinns, MD",Pediatrics
"Chaim J Bernstein, MD",Pulmonary Disease / Internal Medicine
"Ravindra K Goyal, MD",Internal Medicine / Pulmonary Disease
"Kira Manusis, MD",Ophthalmology
"Davendra Mehta, MD",Clinical Cardiac Electrophysiology / Cardiology
"Bernard A Silverman, MD",Allergy & Immunology
"Jeffrey M Weinberg, MD",Dermatology
"Krishnasamy Soundararajan, MD",Vascular Surgery
"Javed Suleman, MD",Cardiology
"Wesley L Davison, MD",Otolaryngology
"Peter Gontzes, MD",Allergy & Immunology
"Ramez Habib, MD",Otolaryngology
