Full Name
"Judith A Aberg, MD"
"Genevieve Izzo, PhD"
"Brandon D Johnson, MD"
"Susan Kahane-Pierre, MD"
"Vishal Kapur, MD"
"Pallavi Khanna, MD"
"Pallavi Khanna, MD"
"Hasan Khosravi, MD"
"Oscar Klein, MD"
"Rebecca Klein, MD"
"Jonathan R Koppel, MD"
"Hart N Kopple-Perry, DO"
"Samuel R Koval, PhD"
"Prakash Krishnan, MD"
"Rahael Kurrien, PhD"
"Vijay H Lapsia, MD"
"Daniel Laroche, MD"
"Stephanie Lechich, PhD"
"Cheong E Lee, DDS"
"Erin Li, MD"
"Naomi A Liang, MD"
"Max A Lichtenstein, MD"
"Peter W Liu, MD"
"Gregory Malzberg, MD"
"Nicole M Marona, LCSW"
"(212) 866-4400    |    2381 Frederick Douglass Blvd, New York, NY 10027    |     4.64 miles"
"Nicole M Marona, LCSW"
"Krista Martinez, MD"
"Maureen D Martino, MD"
"Hilda Massoud, LCSW"
"Hilda Massoud, LCSW"
"Christina N Mastropaolo, MD"
"Martin J Maurer, MD"
"Marina Mazur, PhD"
"Ira S Meisels, MD"
"Doreen A Mensah, MD"
"Alice K Min, MD"
"Kelly L Mule, PhD"
"Michael P Mullen, MD"
Clinically Integrated Network Member
"Jessi Munoz, MD"
"Jeffry D Mutuc, MD"
"Jeffry D Mutuc, MD"
"Dalia S Nagel, MD"
"Maria Narimanidze, PsyD"
"Maria Narimanidze, PsyD"
"Allison P Navis, MD"
"Rebecca S Nerenberg, LCSW"
"Rebecca S Nerenberg, LCSW"
"Jenna Nessa, DDS"
"John K Nia, MD"
"Jacob Nyman, PhD"
"David Ochshorn, LCSW"
"David Ochshorn, LCSW"
"Christian Olivo-Freites, MD"
"Christian Olivo-Freites, MD"
"Maryam Omidi, PhD"
"Georgina Osorio, MD"
"Sun Joo Paik, DDS"
"Carmen E Parilla, LCSW"
"Carmen E Parilla, LCSW"
"Luca Pauselli, MD"
"Lauren M Perry, DO"
"Lauren M Perry, DO"
"Andrea N Persaud, MD"
"Martine R Pollack-Zollman, MD"
"Madhavi Ponnapalli, MD"
"Roberto Posada, MD"
"Alejandro Prigollini, MD"
"Asif M Rahman, MD"
"Andres Ramirez Zamudio, MD"
"Margaret Rauen, PhD"
"Joshua L Rein, DO"
"Jessica Robinson-Papp, MD"
"Jean C Rodriguez -Agramonte, MD"
"Judith T Rosenfeld, LCSW"
"Judith T Rosenfeld, LCSW"
"Paul J Rosenfield, MD"
"Jacob Rossmer, PsyD"
"Joseph S Ruggiero, PhD"
"Jean W Saleh, MD"
"Vishnupriya Samarendra, MD"
"Rachel T Samouha, OD"
"Rachel T Samouha, OD"
"Amy J Schlauch, DO"
"Amy J Schlauch, DO"
"Nicholas R Sells, MD"
"Rebecca Shafer, MD"
"Lauren I Shapiro, MD"
"Isabella Sierra, PhD"
"Keith M Sigel, MD"
"Richard Silvera, MD"
"Sanjosh Singh, DO"
"Andrew H Smith, MD, PhD"
"Steven D Smith, MD"
"Scott M Sokol, PhD"
"Brittany K Solar, MD"
"Brittany K Solar, MD"
"Martha A Sparks, PhD"
"Timothy G Stahl, PhD"
"Rachael M Stevenson, MD"
"Michael Sun, MD"
"Usama Syed, MD"
"Piyush Taparia, MD"
"Joseph Tarantino, PhD"
"Shilpa R Taufique, PhD"
"Aida Taye, MD"
"George A Taylor, MD"
"Kevia L Taylor, MD"
Clinically Integrated Network Member
"Kevia L Taylor, MD"
"Amanda Templeman, PhD"
"Amilcar A Tirado, MD"
"Michael F Tosi, MD"
"Brooke A Trenton, MD"
"Brooke A Trenton, MD"
"Clinical Integrated Network, Humana (Medicare), Oscar, UMR Top "
"Andrew A Twardon, PhD"
"Gandhi Vallarapu, MD"
"Geeta Varghese, MD"
"George Velasco, MD"
"Eric M Wahl, MD"
"Allison C Waters, PhD"
"Jeffrey M Weinberg, MD"
"Cara Weiner, PsyD"
"Rachel Weisberg, PsyD"
"Rachel Weller, PsyD"
"John C Winters, MD"
"Yong Witkovic, PhD"
"Steven Wortman, MD"
"Kayli Wrenn, PhD"
"Hemrie Zalman, PsyD"
"Satin Zarkar, DO"
"Jonathan D Zimmerman, MD"
"Albert Ayoub, MD"
"Dina M Began, MD"
"Robert L Buka, MD"
"Michele Burgess, MD"
"Margot Chima, MD"
"Sourab P Choudhury, DO"
"Beau A DiCicco, MD"
"Mary C Earnhardt, MD"
"Robert L Finney, MD"
"Christine J Friedman, MD"
"Dimitry Goncharov, DO"
"Alison B Gruen, MD"
"Peter W Hashim, MD"
"Cassandra E Henderson, MD"
"Babu Jasty, MD"
"Integrated Network, Emblem (HIP Medicaid) Clinical Integrated "
"Ruchi Karsalia, MD"
"Hasan Khosravi, MD"
"Samantha B Lowe, DO"
"Buddhadev Manvar, MD"
"(718) 783-7001    |    31 Saint Felix Street, Brooklyn, NY 11217    |     4.69 miles"
"Charlotte S Noorollah, DO"
"Nicole G Palmer, DO"
"Katharine A Pelletier, MD"
"Andrew J Peranteau, MD"
"Andrea N Persaud, MD"
"Lina Pilshchik, DO"
"Vanessa Pinard, MD"
"Stephanie A Pollitz, MD"
"Lazar Popilevsky, MD"
"Yelena Rubinshteyn, MD"
"Sanjosh Singh, DO"
"Lauren Strazzulla, MD"
"Usama Syed, MD"
"Cheng M Tou, MD"
"Anne S Wold, MD"
"Sophia Wu, MD"
"Matthew Abramson, MD"
"Margot Chima, MD"
"Tiffany M Christian, MD"
"Priya P Deshpande, MD"
"Robert L Finney, MD"
Clinically Integrated Network Member
"Peter W Hashim, MD"
"Hasan Khosravi, MD"
"Andrew J Peranteau, MD"
"Andrea N Persaud, MD"
"Sanjosh Singh, DO"
"Lauren Strazzulla, MD"
"Usama Syed, MD"
"Mohit K Turagam, MD"
"Shilpi B Ahuja, MD"
"Joseph J Ciuffo, MD"
"John Fernandez, MD"
"Gary Gwertzman, MD"
"Sam K Huh, MD"
"Jacob S Koruth, MD"
"Prakash Krishnan, MD"
"(718) 821-6285    |    95 Wyckoff Avenue, Brooklyn, NY 11237    |     4.98 miles"
"Zan Mra, MD"
"Jonathan J Richards, DPM"
"Vijay K Battu, MD"
"Adegboyega T Adebayo, MD"
"Arturo A Caesar, MD"
"Integrated Network, Emblem (HIP Medicaid) Clinical Integrated "
"Icilma Fergus, MD"
"David A Forsh, MD"
"Harrison F Mitchell, MD"
"Jeremy D Podolnick, MD"
"Amit S Kalra, DPM"
"Integrated Network, Emblem (HIP Medicaid) Clinical Integrated "
"Brian K Levy, DPM"
"Ededet A Udo, MD"
"Rondai Evans, MD"
"Robert L Finney, MD"
"(Medicare), Oscar, Oscar, UMR Top Tier, UMR Top Tier, United "
"Amit S Kalra, DPM"
"Brian K Levy, DPM"
"Lauren Strazzulla, MD"
"Anum Aamir, MBBS"
"Zaza J Aivazi, MD"
"Nelson Alcaraz, MD"
"Bayan Alsuleiman, MD"
"James J Anarella, DPM"
"James J Anarella, DPM"
"Farah E Atallah-Lajam, MD"
"Sachal H Badlani, MD"
"Michael J Benanti, DO"
"Oscar Blanco-Franco, MD"
"Anjali Budhathoki, MBBS"
"Michele Burgess, MD"
"Gabriel Castillo, MD"
"Margot Chima, MD"
"(212) 385-3700    |    77-11 37th Avenue, Jackson Heights, NY 11372    |     5.57 miles"
"Beau A DiCicco, MD"
"Zachary Dovey, MBBS"
"Eric D Edwards, MD"
"Serdar Farhan, MD"
"Robert L Finney, MD"
Clinical Integrated Network
"Maria E Fraga, RD"
"Benclement Gervacio, MD"
"Peter Gontzes, MD"
"Roberto E Granato, MD"
"Rafael A Guillen, MD"
"Meenakashi Gupta, MD"
"Gabriel Gustin, MD"
"Peter W Hashim, MD"
"Xequiel Hernandez, MD"
"Irina Ilyayeva, MD"
"Ana M Jaramillo, MD"
"Mohammad Jawaid, MD"
"Stephen Johnstone, MD"
"Amit S Kalra, DPM"
"Vishal Kapur, MD"
"Le Yu Khine, MD"
"Hasan Khosravi, MD"
"Clinical Integrated Network, Oscar, UMR Top Tier, United "
"Renita S Kim, MD, PhD"
"Prakash Krishnan, MD"
"Dana D Larsen, MD"
"Linda Law, MD"
"Brian K Levy, DPM"
"Tianyuan Liu, MD"
"Dawar Mahmood, MD"
"Neha Malhotra, MD"
"Bettina Manduca, MD"
"Nyla Manning, MD"
"Thomas Mannino, MD"
"Neelima Nadella, MD"
Clinically Integrated Network Member
"Scott Q Nguyen, MD"
"Andrew J Peranteau, MD"
"Andrea N Persaud, MD"
"John P Phair, MD"
"Adina Pinkas, MD"
Clinically Integrated Network Member
"Andres Ramirez Zamudio, MD"
"Claudia C Ravins, MD"
"Luis G Rivera Sanchez, MD"
"Carlos Rodriguez-Bonilla, MD"
"Voravut O Sarabanchong, MD"
"Raman Sharma, MD"
"Vannita Simma-Chiang, MD"
Clinically Integrated Network Member
"Sanjosh Singh, DO"
"Christopher J Smolock, MD"
"Lauren Strazzulla, MD"
"Usama Syed, MD"
"Winona Tse, MD"
"Edward C Yang, MD"
Clinical Integrated Network
"Linda P Zhang, MD"
"Kiruthika Balasundaram, MD"
"Michele Burgess, MD"
"Margot Chima, MD"
"Beau A DiCicco, MD"
"Clinical Integrated Network, Empire (Commercial/Medicare) Clinical "
"Serdar Farhan, MD"
"Peter W Hashim, MD"
"Prakash Krishnan, MD"
"Atul Kukar, DO"
"Robert Leber, MD"
"Mariana Marcu, MD"
"Pedro Moreno, MD"
"Cynthia E Myers, MD"
"John K Nia, MD"
"Top Tier, United (Commercial) Clinical Integrated Network"
"Angela M Palazzo, MD"
"Andrew J Peranteau, MD"
"Andrea N Persaud, MD"
"Walt G Sargeant, MD"
"Sanjosh Singh, DO"
"Usama Syed, MD"
"Shyam Amin, MD"
"Luis Aybar, MD"
"Gargi Bajpayee, MD"
"Charles Berk, MD"
"Lauren E Blau, PhD"
"Carrie Bowler, DO"
"Michele Burgess, MD"
"Margot Chima, MD"
"Beau A DiCicco, MD"
"Robert L Finney, MD"
"Samuel Hanon, MD"
"Peter W Hashim, MD"
"Kate Hirschmann-Levy, MD"
"Kristen Island, MD"
"Himansh Khanna, MD"
"Hasan Khosravi, MD"
"Marissa Lombardo, MD"
"Marcelo Mendez, MD"
"Andrew J Peranteau, MD"
"Peter Raimondi, MD"
"Hugo O Rosero, DO"
"Tina Shah, MD"
"Sanjosh Singh, DO"
"Michelle Spotnitz, MD"
"Lauren Strazzulla, MD"
"Fasiha Syed, DO"
"Usama Syed, MD"
"Paul A Thodiyil, MD"
"Nandini Vijayakumar, DO"
"Ruwanthi Wijesinghe, MD"
"Alyssa Wohl, MD"
"Ana M Jaramillo, MD"
"Integrated Network, Empire (Commercial/Medicare) Clinical Integrated "
"Atul Kukar, DO"
"Martin J Arron, MD"
"Fernando C Carnavali, MD"
"Christy Chon, MD"
"Samuel J Daniel, MD"
"Jessie Fields, MD"
"Mark A Gorny, MD"
"Virgil Hatcher, MD"
"Dora Huang, RD"
"Theresa A Mack, MD"
"Yeriko Santillan, MD"
"George Velasco, MD"
"Jeffrey M Weinberg, MD"
"Ming Yu, MD"
"Saad Bhatti, MD"
"Maritza Brown, MD"
"Kevin A Charlotten, MD"
"Anthony G Curreri, MD"
"Marie E Dy-Guillaume, MD"
"Rondai Evans, MD"
"Carl Guillaume, MD"
"Anil K Kapoor, MD"
"Nitzy Munoz Casablanca, MD"
"Vahid Rahimian, DO"
"Aaron S Stern, MD"
"Afshin Tavakoly, MD"
"Sanghyun A Kim, MD"
"Abdo Balikcioglu, MD"
"Sunil Mehra, MD"
"Vishal Kapur, MD"
Clinically Integrated Network Member
"Dina M Began, MD"
"Robert L Buka, MD"
"Michele Burgess, MD"
"Margot Chima, MD"
"Sourab P Choudhury, DO"
"Beau A DiCicco, MD"
"Robert L Finney, MD"
"Alison B Gruen, MD"
"Peter W Hashim, MD"
"Hasan Khosravi, MD"
"Charlotte S Noorollah, DO"
"Andrew J Peranteau, MD"
"Andrea N Persaud, MD"
"Network, Emblem Health (HIP Commerical and Medicare) Clinical "
"Sanjosh Singh, DO"
"Lauren Strazzulla, MD"
"Usama Syed, MD"
"Atul Kukar, DO"
"Punyadech Photangtham, MD"
"Network, Humana (Medicare), Oscar, UMR Top Tier, United "
"Dina M Began, MD"
"Michele Burgess, MD"
"Margot Chima, MD"
"Beau A DiCicco, MD"
"Robert L Finney, MD"
"Alison B Gruen, MD"
"Peter W Hashim, MD"
"Hasan Khosravi, MD"
"Charlotte S Noorollah, DO"
"Andrew J Peranteau, MD"
"Andrea N Persaud, MD"
"Sanjosh Singh, DO"
"Lauren Strazzulla, MD"
"Usama Syed, MD"
"Jeffrey M Weinberg, MD"
"Janet Abrams, MD"
"Sriya Avadhani, MD"
"Sachal H Badlani, MD"
Clinical Integrated Network
"Micaela F Bayard, MD"
"Michael J Benanti, DO"
"Rachel A Brozinsky, MD"
"Adjoa A Bucknor, MD"
"Annamaria Cazzorla, RD"
"Philippa Cheetham, MD"
"Susan Ching, DO"
"Michael Choi, MD"
"Dan R Cimponeriu, MD"
"Christopher T Clemens, MD"
"Felix N Cohen, MD"
"Harley J Cohen, MD"
"Meir S Cohen, DO"
"Zachary Dovey, MBBS"
"Michael C Edelstein, DPM"
"Eric D Edwards, MD"
"Alyssa M Erb, DO"
"(347) 545-2520    |    98-76 Queens Blvd, Ste P3, Rego Park, NY 11374    |     6.97 miles"
"Emily Fatakhov, MD"
"Yekaterina Fatakhov, MD"
"Lorenzo Fitzig, MD"
"Maria E Fraga, RD"
"Elizabeth Fung, DO"
"Anthony Garcia, MD"
"Sunil K George, MD"
"Ariana Gluck, DO"
"Meenakashi Gupta, MD"
"Maichael D Harbus, DO"
"Virgil Hatcher, MD"
"Xequiel Hernandez, MD"
"John K Houten, MD"
"Le Yu Khine, MD"
"Annie J Kim, MD"
"Renita S Kim, MD, PhD"
"Brett Klein, RD"
"Jeffrey K Klingenstein, MD"
"Mikhail Kogan, MD"
"Sean Kotkin, MD"
"Felix Kuo, MD"
"Herbert S Lempel, MD"
"Gary N Lerner, MD"
"Tianyuan Liu, MD"
"Tianyi Lu, MD"
"Thomas Mannino, MD"
"Jennifer L Marti, MD"
"Sunil Mehra, MD"
"Marc A Miller, MD"
"Daniel Musikantow, MD"
"Anthony Orlando, DPM"
"Network, Humana (Medicare), Oscar, UMR Top Tier, United "
"Behzad Paimany, MD"
"John P Phair, MD"
"David Power, MBBS"
"Andrew J Quinn, MD"
"Stephen Reuben, MD"
"Michael J Robbins, MD"
"(718) 520-6100    |    99-01 Queens Boulevard, Rego Park, NY 11374    |     6.97 miles"
"Igor Rubinshteyn, MD"
"Alfred Shtainer, MD"
"Maria E Shtessel, MD"
"Ava Sierecki, MD"
"Kelly Smith, MD"
"Richard Smith, MD"
"Christopher J Smolock, MD"
"George C Surla, MD"
"Jason Tam, MD"
"Sekhar Upadhyayula, MD"
"Steven Xian, MD"
"Edward C Yang, MD"
"Lili Chan, MD"
"Nicholas H Chun, MD"
"Robert L Finney, MD"
"Lewis Kaufman, MD"
"Staci A Leisman, MD"
"Kristin A Meliambro, MD"
"Martin Sedlacek, MD"
"Shuchita Sharma, MD"
"Lauren Strazzulla, MD"
"Joji E Tokita, MD"
"Jaime V Uribarri, MD"
"Cecilia G Calderon, MD"
"Robert L Finney, MD"
"Lauren Strazzulla, MD"
"Joji E Tokita, MD"
"Jonathan A Winston, MD"
"Anthony F Jahn, MD"
"Sanghyun A Kim, MD"
"Swaminatha V Gurudevan, MD"
"Virgil Hatcher, MD"
"(718) 249-2201    |    1245 Southern Blvd, Bronx, NY 10459    |     7.27 miles"
"Vishal Kapur, MD"
"Jeffrey M Weinberg, MD"
"Marwan Atallah, MD"
"Robert F Calciano, MD"
"Abel A Casso Dominguez, MD"
"Margot Chima, MD"
(Commercial) Clinical Integrated Network
"Robert L Finney, MD"
"Michael Giasullo, MD"
"Yuliya Giyaur, MD"
"Swaminatha V Gurudevan, MD"
"Vishal Kapur, MD"
"(212) 427-1540    |    1414 Newkirk Avenue, Brooklyn, NY 11226    |     7.30 miles"
"Hasan Khosravi, MD"
"Daniel Musikantow, MD"
"Andrea N Persaud, MD"
"Lauren Strazzulla, MD"
"Vivian M Abascal, MD"
"Kiruthika Balasundaram, MD"
"Cecilia G Calderon, MD"
"Cecilia G Calderon, MD"
"Abel A Casso Dominguez, MD"
"Clarence L Chen, MD"
"Edward Chin, MD"
"Cory C Cunningham, LCSW"
"(Medicare), Oscar, UMR Top Tier"
"Anthony G Curreri, MD"
"Michelle DelValle, MD"
"Michelle Diaz, DPM"
"Melissa Duperval, DO"
"Eric D Edwards, MD"
"Icilma Fergus, MD"
"Vanessa E Fernandez, MD"
"Gustavo G Fernandez Ranvier, MD"
"Zoya Gavrilman, MD"
"Jisu Han, DO"
"Eugenius J Harvey, MD"
"Adam H Jacobi, MD"
"Amit S Kalra, DPM"
"Sung Y Kim, MD"
"Ninan Koshy, MD"
"Prakash Krishnan, MD"
"Atul Kukar, DO"
"Brian K Levy, DPM"
"Asad Mohammad, DO"
"Pedro Moreno, MD"
"Neelima Nadella, MD"
"Ebrahim Shahim, MD"
"Aida Taye, MD"
"Kevia L Taylor, MD"
"Linda P Zhang, MD"
"Alan A Adler, MD"
"Yaniv Y Brailovschi, MD"
"Celia Divino, MD"
"Jonathan A Erber, MD"
"William F Erber, MD"
Clinically Integrated Network Member
"Martha Harrison, MD"
"Rachel L Kassenoff, MD"
"Howard H Kurtz, MD"
"Scott Q Nguyen, MD"
"Nicolette Reese, MD"
"Carol E Rodriguez, MD"
"Hayley E Scholl, MD"
"Anupama S Shah, MD"
"Joshua N Shatzkes, MD"
"Vishal Kapur, MD"
"Virgil Hatcher, MD"
"Amit S Kalra, DPM"
Clinically Integrated Network Member
"Brian K Levy, DPM"
"Jeffrey M Weinberg, MD"
"Dina M Began, MD"
"Robert L Buka, MD"
Clinically Integrated Network Member
"Leon M Chen, MD"
"Sourab P Choudhury, DO"
"Wayne K Chung, MD"
"Alison B Gruen, MD"
"Charlotte S Noorollah, DO"
"Misu Paul, MD"
"Aaron A Westreich, MD"
"Paul S Aaronson, MD"
"Michael Alleva, MD"
"Benjamin Arbesfeld, MD"
"Rosalia Ayuso, MD"
"Joel A Baum, MD"
"Ben Z Cohen, MD"
"Anna Frants, MD"
"Soha N Ghossaini, MD"
"Virgil Hatcher, MD"
"(718) 459-0900    |    107-40 Queens Blvd. Suite 204, Forest Hills, NY 11375    |     7.80 miles"
"Ana M Jaramillo, MD"
"Grigoriy Mashkevich, MD"
"Alfred J Nadel, MD"
"Edward W Olkowski, MD"
"Claudia C Ravins, MD"
(Commercial) Clinical Integrated Network
"Steven S Ravins, MD"
"Raphael E Rosenbaum, MD"
"Harvey S Rosenblum, MD"
"Allen Rubin, MD"
"Irada Shapiro, DO"
"Alan T Sheyman, MD"
"Alan T Sheyman, MD"
"Joseph J Tseng, MD"
"Aaron E Walfish, MD"
"(212) 831-5000    |    112-03 Queens Boulevard, Forest Hills, NY 11375    |     7.80 miles"
"Jeffrey M Weinberg, MD"
"Mariam Zakhary, DO"
"Leslie G Bennett, MD"
"Eric J Ledermann, DO"
"Peter S Midulla, MD"
"Adam K Penstein, MD"
"Aryeh L Pollack, MD"
"Gary Tubman, MD"
"Allen B Zelman, MD"
"Integrated Network, Emblem (HIP Medicaid) Clinical Integrated "
"David Zelman, DO"
"Ruchi Agarwal, MD"
"Lili Chan, MD"
"Nicholas H Chun, MD"
"Carl Guillaume, MD"
"Lewis Kaufman, MD"
"Staci A Leisman, MD"
"Kristin A Meliambro, MD"
"Shuchita Sharma, MD"
"Joji E Tokita, MD"
"Jaime V Uribarri, MD"
"Sung Y Kim, MD"
"Gabriele DiLuozzo, MD"
"Clinical Integrated Network, Empire (Commercial/Medicare) Clinical "
"David H Simon, DPM"
"Michael Choi, MD"
"Spiros P Hiotis, MD"
"Vishal Kapur, MD"
"Sanghyun A Kim, MD"
"Sung Y Kim, MD"
"Alex J Ky-Miyasaka, MD"
"David S Lee, MD"
"Tianyi Lu, MD"
"Chiara Rocha, MD"
"Myron Schwartz, MD"
"Ashley T Tsang, MD"
"Linda P Zhang, MD"
"Hongyan Zou, MD"
"Vishal Kapur, MD"
"Victor Tenenbaum, MD"
"Qazi K Haider, MD"
"Rohail Haider, DO"
"Dong-Seok D Lee, MD"
"Krishnasamy Soundararajan, MD"
"Paul A Thodiyil, MD"
"Vivian M Abascal, MD"
"Ethan Abbott, DO"
"Gallane D Abraham, MD"
"Samuel K Agyare, MD"
"Danish A Ahmad, MD"
"Saadia Akhtar, MD"
"Ayesha Ali, MD"
"Mark C Andreae, MD"
"Donald Apakama, MD"
"Matthew Y Bai, MD"
"Theodore Bania, MD"
"Barbara J Barnett, MD"
"Christin J Barry, MD"
Clinically Integrated Network Member
"Amanda Bates, MD"
"Adam Belachew, MD"
"David Ben-Eli, MD"
"Saadiyah Bilal, MD"
"Lavanya Boddu, MD"
"William A Bonadio, MD"
"Morgan S Bowling, DO"
"Cara Brown, MD"
"Cynthia Bui, MD"
"Caroline W Burmon, MD"
"Phyllis A Caces, MD"
"Yvette Calderon, MD"
"Christopher Caravanos, MD"
"Patricia Carey, MD"
"Brendan Carr, MD"
"Moira Carroll, MD"
"Abel A Casso Dominguez, MD"
"Cheryl Chang, MD"
"Jenny F Chang, MD"
"Kevin Chason, DO"
"Ahmed Chaudhry, DO"
"Makini Chisolm-Straker, MD"
"Wendy Chung, MD"
"Louis Cicatelli, DO"
"Mateusz K Ciejka, MD"
"Brendan D Connell, MD"
"Ethan A Cowan, MD"
"Catrina Cropano, MD"
"Giselle Cruz, MD"
"Uma Damle, MD"
"Celeenamma B Daniel, MD"
"Morgan P Dauer, MD"
"Jonathan DeAssis, MD"
"Anthony DeVivo, DO"
"Deborah N Dean, MD"
"Sean A Dhanraj, MD"
"Sukhdip Dhillon, MD"
"Srinivas Dukkipati, MD"
"Jamie Edelstein, MD"
"Patrick Eiben, MD"
"Nicole Eiden, MD"
"Eliezer T Eisenberger, DPM"
"Erick A Eiting, MD"
"Mohamed Elfatihi, MD"
"Melto J Eliades, MD"
"Henry W Evans, MD"
"Ugo A Ezenkwele, MD"
"Michael J Falk, MD"
"Hassan Farhat, MD"
"Joseph Feldman, MD"
"Gregory Fernandez, MD"
"(212) 604-6550    |    5030 Broadway, New York, NY 10034    |     8.82 miles"
"Anusha R Fernando, MD"
"Michelle Gaba, MD"
"Marian L Gambrell, MD"
"Sylvia Garcia, MD"
"Nicholas Gavin, MD"
"Megha R George, MD"
"Pedro Giron, MD"
"Jeffrey A Glassberg, MD"
"Jacob K Goertz, MD"
"Armin Gollogly, MD"
"Dania A Goodin, MD"
"Jonathan Grenadir, MD"
"Duncan H Grossman, DO"
"Carl Guillaume, MD"
"Sara Hadi, MD"
"Christopher W Hahn, MD"
"Rosy Hao, MD"
"Virgil Hatcher, MD"
"(212) 222-0075    |    3845 10th Ave, New York, NY 10034    |     8.82 miles"
"Chen He, MD"
"Michael B Heller, MD"
"Kimberly Henderson, MD"
"Xequiel Hernandez, MD"
"Robert Hoke, MD"
"Rubayet Hossain, MD"
"Kevin Hu, MD"
"Erica E Igbinoghene, MD"
"Benedikt Ilyaguyev, DO"
"Dinaz Irani, MD"
"Adelle Iusim, MD"
"Andy S Jagoda, MD"
"Geoffrey W Jara-Almonte, MD"
"Logan Jardine, MD"
"Cortlyn Jeter, MD"
"Malcolm Johnson, MD"
"Jeffrey Julian, MD"
"Tamer Kamash, MD"
"Kristen M Kelly, MD"
"Rishi Khakhkha, MD, MBA"
"Utsha Khatri, MD"
"Amie M Kim, MD"
"Sung Y Kim, MD"
"Ninan Koshy, MD"
"Janine Kramer, DO"
"Joel M Krauss, MD"
"Paul H Krieger, MD"
Clinically Integrated Network Member
"Prakash Krishnan, MD"
"Alexis P Langsfeld, MD"
"Michael D Lanigan, MD"
"Elyse B Lavine, MD"
"Cappi Lay, MD"
"Melissa Leber, MD"
"Jonathan Lee, MD"
"Richard Lee, MD"
"Eric Legome, MD"
"Evan Leibner, MD"
"Quinn Leslie, MD"
"Stephan J Lestin, MD"
"Michael C Leung, MD"
"Rachel J Levene, MD"
"Jeffrey L Levine, MD"
"Wei J Li, MD"
"Sally Liang, MD"
"Tian Z Liang, MD"
"Eric Lieu, MD"
"Czer Anthoney E Lim, MD"
"Robert M LoCastro, DPM"
"Allison G Lockwood, MD"
"Jennifer Love, MD"
"Sanida Lukovic, MD"
"Douglas K MacDonald, MD"
"Patrick J Maher, MD"
"Rishi Malik, MD"
"Meghan C Maloney, MD"
"Alex F Manini, MD"
"Gonzalo Manzano, MD"
"James Mattson, MD"
"Jolion McGreevy, MD"
"Joshua O McHugh, MD"
"Benjamin A McVane, MD"
"Vishal A Mehta, DO"
"Roland Merchant, MD"
"Mark Mikhly, MD"
"Ramon Millan, MD"
"Jonathan Mishoe, MD"
"Tiffany Mitchell, MD"
"Avir Mitra, MD"
"Neal Moehrle, MD"
"Pedro Moreno, MD"
"Arunabha Nandi, MD"
"Denise Nassisi, MD"
"Ka Ming G Ngai, MD"
"Thomas T Nguyen, MD"
"Jeranil Nunez, MD"
"Dmitry Olshansky, MD"
"Koji Park, MD"
"Amish Patel, MD"
"Puja K Patel, MD"
"Vaishali R Patel, MD"
Clinically Integrated Network Member
"Chandni K Pawar, MD"
"Colin Pesyna, MD"
"Harrison Pidgeon, MD"
"Matthew Pius, MD"
"Trevor R Pour, MD"
"Arjun Prabhu, MD"
"Gabriel Prager, MD"
"Ying Qian, MD"
"Elaine J Rabin, MD"
"Nina Ragaz, MD"
"Isha N Ranadive, MD"
"Michael A Redlener, MD"
"Ryan Renacci, MD"
"Madeline Renny, MD"
"Christopher Reverte, MD"
"Lynne D Richardson, MD"
"Robin D Roberts, MD"
"Jeremy M Rose, MD"
"John Rozehnal, MD"
"Elizabeth J Rubano, MD"
"Jennifer E Sanders, MD"
"Christine Saracino, DO"
"Crissaris Sarnelli, MD"
"Nidhish Sasi, MD"
"Regina Saylor, MD"
"Jonathan Schimmel, MD"
"Mirela N Schwartz, MD"
"(212) 604-6550    |    5030 Broadway, New York, NY 10034    |     8.82 miles"
"Monica Sethi, MD"
"Anuj Shah, MD"
"Gururaj Shan, MD"
"Evan Shapiro, MD"
"Siri Shastry, MD"
"Peter L Shearer, MD"
"Elana Siegel, MD"
"Elizabeth K Singer, MD"
"Anjali Singh, MD"
"Rachel Solnick, MD"
"Samuel E Sondheim, MD"
"Louis Spina, MD"
"Westley J Spiro, MD"
"Jonathan Spitz, MD"
"Christopher G Strother, MD"
"Judah J Sueker, MD"
"Rachel Sullivan, MD"
"Ramona Sunderwirth-Bailly, MD"
"Susan M Talbert, MD"
"Timothy Tan, MD"
"Shameeke Taylor, MD"
"Rahul N Thakker, MD"
"Deepti Thomas-Paulose, MD"
"Seanna Thompson, MD"
"Frederick L Thum, MD"
"Daryl Tiong, MD"
"Julia R Tokarski, MD"
Clinically Integrated Network Member
"Shefali Trivedi, MD"
"James W Tsung, MD"
"Gail Ukatu, MD"
"Peter C Vangronigen, MD"
"Lara Vanyo, MD"
"Vladimir Volokh, DO"
Clinically Integrated Network Member
"Nico Volz, MD"
"Richard Wang, MD"
"Raymond V Wedderburn, MD"
"Jeffrey M Weinberg, MD"
"Jeffrey M Weinberg, MD"
"(212) 222-0075    |    3845 10th Ave, New York, NY 10034    |     8.82 miles"
"Van Don Williams, MD"
"Tommy Y Wong, MD"
"Benjamin Wyler, MD"
"Diana H Yan, MD"
"Elizabeth Yetter, MD"
"Debra R Zane, MD"
"Linda P Zhang, MD"
Clinical Integrated Network
"Lauren E Zinns, MD"
"Chaim J Bernstein, MD"
"Ravindra K Goyal, MD"
"Kira Manusis, MD"
"Davendra Mehta, MD"
"(718) 336-3033    |    1384 East 19th Street, Brooklyn, NY 11230    |     8.86 miles"
